código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,24634800332.00,11243321792.00,16145027350.00,4915882623.00,463134.00,7729819.00,437890.00,4922358.00,5578.00,3.75,4.33,-2.81,3.20,57.75,42.35,130.88,6.48,0.79,79.75,3.16,20.88,1.42,5.18,124.88,2815.38,1983.58,20.70,46.49,38.68,34.77,12.75,4.25,5.73,16.50,-3.06,2.37,-6.36,39.11,32.18,37.16,202504
00011,53589577045.00,18684288004.00,34608374851.00,16944497125.00,332996.00,20526257.00,1009843.00,4954759.00,16274.00,1.93,1.18,-1.01,1.40,60.63,39.39,151.30,2.21,0.87,55.23,1.66,8.73,0.66,4.13,426.98,2035.39,884.92,10.09,71.43,51.53,44.26,19.51,3.28,5.70,22.47,-0.84,0.13,-3.93,28.40,16.97,23.95,202504
00014,15415623883.00,7493210672.00,10876790463.00,3364795417.00,1268406.00,12573216.00,367709.00,5058749.00,10309.00,3.53,7.30,0.32,2.56,45.86,54.14,95.01,3.07,1.95,10.86,2.59,10.74,1.08,9.02,24.85,1039.26,650.09,-4.26,81.70,11.36,41.52,16.12,-0.94,-0.94,14.77,-0.98,-1.32,-10.04,23.79,22.51,16.70,202504
00015,8260088884.00,3657132367.00,4934403632.00,1751772672.00,146366.00,1863880.00,74076.00,1089032.00,3477.00,3.53,0.92,-3.96,1.67,58.57,41.43,196.48,3.72,0.21,112.43,1.64,16.93,1.44,7.33,93.05,1433.34,1085.16,-2.77,43.81,32.32,29.37,14.48,-0.66,-1.47,17.96,-2.11,1.32,-8.24,34.98,32.72,29.19,202504
00016,4817071615.00,851467107.00,2231180461.00,1949810190.00,2087.00,717.00,0.00,1237.00,1070.00,1.13,-3.20,-3.20,0.00,104.99,0.00,0.00,0.00,0.00,580.56,0.00,24.39,0.00,15.14,117.83,2105.41,748.57,1.69,34.37,28.05,39.44,0.92,0.70,-0.45,19.91,-0.57,3.44,-9.84,131.83,104.99,72.23,202504
00017,17137175376.00,9236822699.00,11934267083.00,2869396751.00,2313445.00,6643647.00,264092.00,3535498.00,6302.00,4.87,1.92,-3.41,1.67,56.74,43.28,161.44,3.57,0.23,57.27,1.64,16.77,1.49,5.94,90.99,1908.45,1464.95,1.50,44.54,39.41,33.39,13.61,0.28,0.69,17.73,-2.09,2.17,-8.18,29.54,27.41,25.60,202504
00020,4821582638.00,2349027553.00,3258219084.00,721227567.00,620535.00,2844751.00,166080.00,1393251.00,1945.00,5.15,10.37,-0.17,1.97,26.86,73.14,102.36,2.27,1.18,5.94,1.93,10.06,1.70,9.07,43.49,1602.38,943.03,12.06,40.00,28.93,57.30,23.53,1.91,1.73,15.45,-1.01,2.43,-10.54,38.35,37.71,14.35,202504
00027,5160317670.00,2403203154.00,3771872753.00,732032254.00,39972.00,1828732.00,52737.00,1986904.00,3012.00,5.97,8.30,-3.68,2.32,62.42,37.58,136.18,2.43,2.26,63.59,2.31,19.55,1.27,8.38,39.02,1224.42,733.15,0.37,55.28,26.45,42.16,18.72,0.06,-0.39,16.46,-1.92,2.08,-10.78,28.32,28.31,26.45,202504
00029,7445939806.00,2193279450.00,5341503466.00,1830244725.00,53302.00,1191274.00,152519.00,185687.00,2438.00,2.67,2.72,0.31,2.37,47.11,52.89,90.33,2.84,1.84,2.87,2.36,17.56,1.77,5.18,266.00,2151.43,721.24,11.67,60.64,54.04,48.98,14.95,2.85,3.65,19.59,-0.45,0.24,-4.97,37.21,23.94,35.34,202504
00034,6523801228.00,2426170335.00,4556738521.00,1464676302.00,171296.00,2332200.00,80680.00,1030653.00,2860.00,3.41,1.10,-0.55,0.86,66.36,33.64,138.45,2.49,0.03,-11.20,0.77,15.67,0.86,5.69,178.91,1567.38,825.26,8.42,56.94,48.29,38.10,20.08,2.00,3.35,18.41,-0.54,1.45,-6.41,27.27,22.85,24.16,202504
