código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,21692306233.00,8832468790.00,14268420141.00,4405930199.00,533298.00,7507118.00,0.00,0.00,0.00,3.82,0.72,-3.20,1.85,57.56,42.50,168.17,3.49,0.64,81.26,1.83,24.90,1.02,5.50,261.56,2440.99,1526.38,34.79,49.06,84.13,46.96,20.23,7.54,10.55,27.38,-2.41,2.38,-6.98,44.66,43.59,38.13,202412
00011,47995110283.00,15042960408.00,31046332752.00,15261359719.00,391649.00,20747164.00,0.00,0.00,0.00,1.87,0.65,-0.75,1.10,61.00,39.17,156.86,1.53,0.82,41.59,1.42,9.52,0.63,4.21,739.01,1779.91,670.90,23.78,70.73,91.51,74.27,30.12,7.46,10.25,35.01,-0.87,0.18,-3.89,27.51,14.39,26.57,202412
00014,14770115398.00,5830674384.00,10700866583.00,3006616383.00,1275614.00,12719249.00,0.00,0.00,0.00,3.82,2.49,-0.64,1.55,46.28,53.72,119.88,2.52,0.42,5.90,1.54,15.49,0.76,9.41,75.71,1017.96,494.66,0.91,82.58,35.67,59.31,27.42,0.19,0.19,20.51,-0.59,-2.22,-10.06,36.37,35.00,23.40,202412
00015,7607866008.00,2455603496.00,4655877519.00,1585909472.00,167488.00,1871909.00,0.00,0.00,0.00,3.59,-1.08,-3.09,1.11,56.88,43.12,249.43,2.39,0.15,112.69,1.11,18.93,0.93,9.37,155.74,1338.16,724.01,3.35,50.87,62.63,38.98,24.28,0.83,1.34,28.07,-1.63,1.16,-10.01,54.07,46.94,36.72,202412
00016,4252789501.00,717111829.00,2010410925.00,1700326926.00,3570.00,830.00,0.00,0.00,0.00,1.18,-3.23,-3.23,0.00,108.89,0.00,0.00,0.00,0.00,609.54,0.00,37.68,0.00,15.39,235.92,1893.40,638.27,-8.34,36.70,52.07,49.93,0.95,-3.52,-8.39,31.13,-0.89,3.30,-9.30,134.63,111.64,92.31,202412
00017,14486092511.00,7122612459.00,9961696169.00,2578864401.00,2292681.00,6678733.00,0.00,0.00,0.00,4.58,-0.70,-2.81,1.19,57.79,42.21,189.39,2.54,0.21,44.29,1.16,19.56,1.01,6.79,162.20,1591.87,1122.91,0.90,44.71,68.50,44.72,19.70,0.19,0.73,25.74,-1.69,2.17,-9.10,30.58,29.20,28.68,202412
00020,4231255382.00,1865368812.00,3097896822.00,649461364.00,634416.00,2915764.00,0.00,0.00,0.00,5.47,2.45,-1.36,1.28,29.66,70.34,132.30,1.39,1.02,7.14,1.25,9.22,1.14,9.72,91.94,1513.14,726.95,17.67,42.87,68.11,86.90,34.44,2.88,4.63,23.83,-0.93,2.39,-12.06,39.32,38.22,13.63,202412
00027,4291845949.00,2100465799.00,3173735660.00,668435140.00,53181.00,1840720.00,0.00,0.00,0.00,5.39,3.52,-3.05,1.29,66.63,33.37,156.91,1.61,1.12,39.76,1.27,15.03,0.52,9.34,95.37,1016.80,627.37,12.37,57.48,69.11,56.24,31.41,2.11,2.94,25.40,-1.37,2.04,-12.34,27.49,24.30,23.06,202412
00029,6791918006.00,1775457263.00,4861000370.00,1620790432.00,51644.00,1213618.00,0.00,0.00,0.00,2.54,1.58,0.05,2.18,46.41,53.67,98.01,2.39,1.94,3.07,2.17,17.79,1.66,5.44,445.40,1962.10,563.58,23.62,62.96,93.80,77.81,24.38,5.59,7.42,29.65,-0.53,0.12,-4.98,44.69,23.26,42.62,202412
00034,5962677163.00,2224674045.00,4133217770.00,1311208485.00,189101.00,2427648.00,0.00,0.00,0.00,3.51,0.06,-0.62,0.48,70.43,29.57,175.75,1.59,0.01,-28.89,0.44,14.24,0.48,5.92,275.01,1403.67,751.83,13.50,57.48,79.01,49.25,29.59,3.31,5.14,27.54,-0.43,1.42,-7.04,27.35,21.33,24.04,202412
00044,2695245220.00,604924327.00,1647480616.00,481034093.00,8185.00,783332.00,0.00,0.00,0.00,4.40,1.65,0.32,2.57,38.49,61.51,90.71,2.21,3.15,16.83,2.56,9.45,1.05,9.71,176.93,1068.93,338.45,17.47,74.06,80.05,68.60,43.11,2.82,4.82,21.19,-0.51,1.33,-7.31,71.95,80.28,7.61,202412
00045,886318842.00,207765199.00,626286329.00,199033043.00,34190.00,508419.00,0.00,0.00,0.00,3.43,0.37,-0.64,0.69,68.78,31.22,169.41,1.84,0.17,-13.25,0.57,8.13,0.69,10.26,151.85,1062.87,358.55,8.12,40.78,57.91,53.99,30.66,2.08,1.63,25.47,-0.45,1.06,-9.75,34.89,29.39,17.17,202412
00065,321522482.00,106558570.00,201622662.00,83498995.00,4420.00,291714.00,0.00,0.00,0.00,2.85,3.90,0.55,2.42,25.01,74.99,85.50,3.13,0.30,-0.63,2.42,15.60,1.30,16.01,94.02,481.38,247.82,11.07,62.43,63.47,73.01,21.56,2.75,4.02,34.12,-0.74,2.09,-16.78,37.63,24.88,37.63,202412
00072,18409165727.00,7557508022.00,13228109816.00,3408808494.00,1113529.00,10094224.00,0.00,0.00,0.00,4.21,-0.59,-4.23,1.88,55.32,44.74,186.97,3.17,0.84,92.53,1.87,27.28,1.49,6.62,196.57,2138.78,1171.03,24.05,40.16,81.22,47.36,19.81,4.92,6.18,26.09,-2.08,3.82,-8.46,41.73,37.21,41.09,202412
00083,749478869.00,260498998.00,477201662.00,222914529.00,14768.00,389757.00,0.00,0.00,0.00,2.36,4.08,1.98,4.17,45.19,54.81,64.48,1.03,7.99,-2.90,4.14,8.09,1.53,11.37,200.74,645.68,357.06,19.92,75.97,81.74,51.52,19.72,5.41,7.37,34.56,-1.26,1.05,-11.05,39.54,12.71,39.44,202412
