código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,22956378464.00,9714397819.00,15203035886.00,4553918489.00,533298.00,7507118.00,469724.00,4752650.00,5675.00,3.99,1.10,-3.47,2.00,58.56,41.44,164.72,3.95,0.62,86.39,1.98,21.72,1.05,5.22,231.27,2638.79,1706.91,33.48,48.27,73.40,42.99,17.88,7.22,10.06,24.82,-2.63,2.43,-6.85,41.10,40.21,33.54,202501
00011,49454968853.00,15726401830.00,31772374453.00,15987596331.00,391649.00,20747164.00,1123611.00,4635282.00,16847.00,1.75,0.62,-0.89,1.14,61.08,39.05,157.27,1.67,0.79,45.41,1.44,8.55,0.61,4.19,694.44,1849.77,718.92,27.12,71.02,84.49,65.98,27.15,8.64,13.30,33.09,-0.91,0.15,-3.87,25.95,12.77,25.09,202501
00014,14771524345.00,6206109195.00,10631865211.00,3083066085.00,1275614.00,12719249.00,373732.00,4718757.00,10401.00,3.55,2.88,-0.77,1.57,45.95,54.05,121.67,2.44,0.55,12.02,1.61,14.36,0.78,9.40,57.70,1007.41,529.25,-1.26,83.03,27.10,54.32,23.77,-0.27,-0.27,18.69,-0.70,-2.00,-10.13,29.76,28.34,22.62,202501
00015,7513185905.00,2770006673.00,4484661945.00,1654405267.00,167488.00,1871909.00,83695.00,1089287.00,3413.00,3.43,-0.41,-3.26,1.07,57.05,42.95,240.68,2.30,0.15,98.54,1.06,18.82,0.90,9.20,130.45,1289.44,815.06,7.79,49.44,51.25,36.10,20.56,1.96,2.01,25.24,-1.87,1.18,-9.91,53.90,45.88,38.41,202501
00016,4469685047.00,745040226.00,2039932307.00,1764744546.00,3570.00,830.00,0.00,1282.00,1059.00,1.15,-3.46,-3.46,0.00,107.30,0.00,0.00,0.00,0.00,656.50,0.00,33.67,0.00,15.36,203.90,1924.77,671.08,-1.53,36.71,45.99,46.33,0.89,-0.64,-3.34,28.64,-1.01,3.34,-9.52,138.02,114.72,85.87,202501
00017,16004733223.00,7535215181.00,11081960515.00,2685190020.00,2292681.00,6678733.00,300223.00,3437048.00,6193.00,4.46,-0.59,-3.51,1.19,55.79,44.21,197.95,2.45,0.19,51.16,1.16,18.64,1.06,6.22,150.80,1770.88,1189.58,7.25,45.60,62.94,41.23,17.71,1.52,2.44,23.81,-1.81,2.10,-8.75,26.87,25.92,25.04,202501
00020,4292806462.00,1971793490.00,3099269538.00,674339188.00,634416.00,2915764.00,175254.00,1316408.00,2014.00,5.21,3.15,-1.25,1.37,27.13,72.87,127.51,1.48,1.07,6.85,1.33,9.45,1.21,9.72,84.42,1520.93,777.58,19.73,42.09,61.46,78.63,30.97,3.21,4.80,22.34,-0.97,2.45,-11.84,40.01,38.70,13.95,202501
00027,4649797843.00,2192629940.00,3440668586.00,686900993.00,53181.00,1840720.00,50552.00,1891967.00,3056.00,5.75,4.45,-3.62,1.41,64.59,35.41,160.11,1.61,1.30,49.42,1.40,19.84,0.74,8.83,73.91,1116.93,665.60,6.37,57.11,52.69,51.49,27.47,1.08,1.28,22.38,-1.53,2.10,-12.10,34.64,32.15,29.43,202501
00029,6829323483.00,1853402824.00,4894323664.00,1667561509.00,51644.00,1213618.00,165297.00,176810.00,2446.00,2.62,1.65,0.17,2.26,46.14,53.86,93.87,2.38,2.12,3.11,2.25,18.78,1.77,5.41,407.09,1977.16,592.27,22.99,62.34,84.30,69.47,21.90,5.51,7.46,27.38,-0.52,0.16,-4.97,47.16,25.27,45.13,202501
00034,5989294209.00,2017569916.00,4097358392.00,1359281210.00,189101.00,2427648.00,85350.00,991372.00,2875.00,3.33,0.20,-0.64,0.59,65.09,34.91,170.95,1.64,0.02,-18.66,0.54,14.65,0.58,6.30,247.77,1402.03,686.32,15.47,56.99,70.93,45.80,26.22,3.79,5.89,25.27,-0.46,1.42,-7.01,26.89,21.52,24.61,202501
00044,2790510691.00,662122277.00,1865057823.00,503175091.00,8185.00,783332.00,0.00,0.00,0.00,4.01,1.84,0.33,2.68,37.00,63.00,91.06,2.36,3.22,9.21,2.60,8.05,1.62,8.71,172.85,1209.90,376.01,21.68,73.61,76.81,60.47,38.89,3.60,5.77,21.11,-0.57,1.28,-7.37,66.50,72.76,4.20,202501
00045,896765821.00,251114213.00,631875748.00,203989042.00,34190.00,508419.00,13087.00,175900.00,596.00,3.38,0.20,-0.64,0.74,69.01,30.99,161.45,2.05,0.15,-12.95,0.57,7.17,0.74,9.90,110.33,1050.31,427.75,3.08,39.81,43.27,50.33,27.67,0.77,0.11,21.49,-0.51,1.03,-9.79,31.48,25.05,15.97,202501
00065,335701498.00,112528166.00,215527107.00,85057710.00,4420.00,291714.00,26370.00,155978.00,415.00,2.95,4.59,0.74,2.90,23.24,76.76,83.75,3.67,0.34,7.90,2.90,16.73,1.43,14.26,105.57,517.25,264.10,22.20,59.45,64.57,68.92,18.78,5.59,6.90,33.22,-0.86,2.06,-15.40,38.32,26.06,38.32,202501
00072,19212899029.00,8376206024.00,13810052511.00,3553683486.00,1113529.00,10094224.00,320473.00,1244788.00,6058.00,4.24,-0.45,-4.64,1.92,54.94,45.13,185.93,3.19,0.88,107.84,1.91,24.08,1.52,6.23,186.47,2262.63,1323.94,26.18,39.63,75.41,44.12,16.62,5.32,6.94,24.52,-2.18,3.88,-8.21,38.68,34.30,36.86,202501
00083,830580489.00,293671231.00,550459957.00,231497925.00,14768.00,389757.00,23742.00,189156.00,750.00,2.59,4.28,2.04,3.76,43.75,56.25,61.89,0.98,7.34,-9.67,3.74,6.47,1.49,10.10,182.21,730.76,393.17,21.52,75.25,72.58,48.30,17.41,5.89,7.84,32.40,-1.57,1.11,-10.91,33.67,9.76,33.58,202501
00086,433256892.00,165386393.00,299305625.00,88320523.00,14297.00,176747.00,8682.00,124188.00,265.00,3.91,-0.19,-1.43,1.10,59.53,40.47,156.41,1.54,0.80,14.25,1.06,3.53,1.10,11.77,100.00,1123.02,622.31,12.64,41.68,58.55,54.89,33.10,2.33,3.09,22.58,-0.70,1.85,-10.78,37.97,33.20,10.74,202501
00093,1089909184.00,319406156.00,707609217.00,312238327.00,77763.00,544615.00,49244.00,328775.00,763.00,2.49,-0.53,-1.89,1.03,53.68,46.32,251.69,1.39,0.72,67.51,1.02,9.36,0.72,10.55,185.41,919.58,426.59,15.01,59.69,65.40,54.73,23.90,4.39,5.89,32.50,-1.00,0.37,-10.33,21.06,14.42,21.06,202501
00094,826912034.00,261355560.00,401466333.00,278232444.00,30170.00,838689.00,33216.00,103244.00,823.00,1.84,1.58,-0.26,1.95,48.34,51.66,113.05,2.16,1.72,10.12,1.93,6.02,0.84,16.40,217.38,485.20,316.22,32.98,55.43,86.13,49.78,14.13,11.09,13.49,42.60,-0.68,1.77,-13.33,23.00,11.86,23.00,202501
00097,1541199209.00,287891030.00,1015751360.00,418695370.00,17204.00,449764.00,31146.00,428178.00,1158.00,2.68,1.93,-0.10,3.29,22.77,77.23,104.19,4.09,0.56,44.58,3.11,7.00,1.58,10.69,218.26,873.31,253.38,29.91,68.05,82.69,64.03,15.30,7.87,10.37,31.72,-1.18,1.46,-9.97,38.10,10.63,38.10,202501
00131,28745944.00,0.00,14175989.00,9706952.00,0.00,76.00,0.00,0.00,34.00,1.96,-0.58,-0.58,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,11.84,0.00,48.48,0.37,414.31,0.00,-58.90,61.16,0.20,41.40,28.02,-24.95,-24.95,23.01,0.00,0.65,-22.20,38.48,24.02,38.48,202501
00143,222147846.00,43879361.00,161149414.00,14645477.00,0.00,6484554.00,37264.00,3549.00,336.00,9.73,35.85,14.38,7.58,12.88,87.12,61.43,8.70,0.00,18.75,7.57,30.65,0.15,14.09,-11.54,478.25,129.90,-44.15,53.36,-23.03,73.47,10.82,-3.79,-4.82,22.10,-1.74,-3.10,-17.14,51.52,32.92,68.84,202501
00147,98141138.00,24808614.00,43076894.00,27765442.00,451.00,271.00,114.00,299.00,112.00,1.71,-0.96,-0.96,0.27,99.98,0.02,409.77,44.72,0.26,0.65,0.27,7.17,0.25,21.92,-6.70,377.19,221.90,3.24,53.41,-3.80,60.98,39.88,0.82,-2.05,16.15,-0.23,-0.53,-14.31,113.80,54.70,71.64,202501
00150,5491132452.00,1742962879.00,3249989367.00,1496277118.00,263839.00,1355778.00,43167.00,148932.00,2843.00,2.43,-0.53,-2.23,2.49,47.47,52.69,170.13,3.24,1.65,103.49,2.45,22.58,2.08,14.79,107.73,1135.12,620.31,-2.73,58.77,50.09,39.64,19.91,-0.73,-0.77,26.14,-1.10,2.41,-12.36,48.08,36.58,47.17,202501
00165,647127084.00,81470442.00,127689904.00,359389677.00,48.00,111.00,0.00,4.00,173.00,0.57,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-99.61,0.00,3.66,0.00,24.77,460.63,732.20,470.31,11.74,82.60,72.45,29.79,16.74,8.30,15.38,58.94,0.00,5.55,-11.12,356.41,355.43,41.23,202501
00191,7598359575.00,1608070414.00,4650331248.00,2646066518.00,464913.00,3494549.00,133021.00,708165.00,4590.00,1.83,-0.78,-0.90,0.30,81.00,19.17,559.70,1.26,0.08,51.29,0.30,14.17,0.23,10.59,273.51,1001.21,339.92,24.99,50.18,68.33,38.96,29.17,9.13,9.13,32.47,-0.36,2.89,-9.13,31.42,22.78,31.42,202501
00198,1443260326.00,167754910.00,1181107301.00,193857394.00,1326.00,2120.00,0.00,0.00,0.00,6.29,0.66,0.66,0.94,95.64,4.36,57.13,0.00,0.98,-67.83,0.78,37.05,0.94,3.48,246.58,4120.43,594.11,19.40,72.95,81.78,27.28,18.39,1.73,2.63,10.92,-0.21,0.87,-2.96,47.88,44.71,47.85,202501
