código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,22687959404.00,10026818621.00,14858778788.00,4624507230.00,533298.00,7507118.00,469724.00,4752650.00,5675.00,3.79,1.95,-3.29,2.35,58.53,41.58,151.64,4.70,0.68,86.82,2.32,21.86,1.12,5.37,199.75,2586.09,1763.95,28.47,47.47,62.93,39.41,15.75,6.05,8.40,22.20,-2.77,2.41,-6.70,42.08,40.87,33.80,202502
00011,49952056850.00,16802990206.00,32154849116.00,16052234025.00,391649.00,20747164.00,1123611.00,4635282.00,16847.00,1.78,0.65,-0.94,1.25,61.06,39.06,155.00,1.87,0.86,49.04,1.53,7.65,0.61,4.23,599.27,1882.35,781.37,21.66,70.76,73.20,56.51,24.24,6.97,10.84,29.58,-0.87,0.13,-3.93,27.35,10.60,27.35,202502
00014,14582686010.00,6623162570.00,10433364268.00,3150411607.00,1275614.00,12719249.00,373732.00,4718757.00,10401.00,3.51,4.12,-0.50,1.66,46.75,53.25,112.92,2.47,0.73,6.48,1.69,11.86,0.89,9.47,51.35,990.17,567.78,0.11,82.97,24.06,49.00,20.72,0.02,0.02,17.87,-0.70,-1.80,-10.17,28.31,25.38,19.89,202502
00015,7690078934.00,3170841669.00,4563997793.00,1663652943.00,167488.00,1871909.00,83695.00,1089287.00,3413.00,3.43,-0.30,-3.44,1.25,59.56,40.44,216.48,2.81,0.19,95.83,1.24,18.06,1.06,8.16,119.39,1319.51,937.80,1.09,45.70,43.65,33.43,17.73,0.27,0.26,22.23,-2.00,1.26,-9.10,40.78,40.08,29.54,202502
00016,4531600867.00,721984960.00,2102096784.00,1829173179.00,3570.00,830.00,0.00,1282.00,1059.00,1.16,-2.45,-2.45,0.00,107.43,0.00,0.00,0.00,0.00,481.99,0.00,28.52,0.00,15.51,182.30,1983.51,632.80,2.58,36.56,41.67,43.49,0.91,1.09,-0.34,26.34,-0.75,3.37,-9.62,133.80,114.73,72.67,202502
00017,15699453224.00,7953432619.00,10607320790.00,2714460423.00,2292681.00,6678733.00,300223.00,3437048.00,6193.00,4.52,-0.08,-3.62,1.31,56.55,43.45,190.22,2.78,0.18,55.04,1.28,15.69,1.19,6.47,123.91,1692.90,1257.81,5.55,44.49,52.92,37.83,16.16,1.13,1.85,21.41,-1.89,2.18,-8.71,28.50,26.54,23.05,202502
00020,4645602078.00,2099835262.00,3336292675.00,680348738.00,634416.00,2915764.00,175254.00,1316408.00,2014.00,5.51,5.26,-1.50,1.39,26.59,73.41,130.58,1.44,1.25,7.95,1.35,10.09,1.21,9.14,72.03,1639.49,836.61,17.57,42.24,51.14,69.40,27.85,2.85,4.10,20.26,-1.05,2.43,-11.50,40.08,38.14,15.34,202502
00027,4720754487.00,2251521168.00,3465562722.00,697422552.00,53181.00,1840720.00,50552.00,1891967.00,3056.00,5.45,4.96,-4.00,1.62,63.75,36.25,156.89,1.70,1.58,55.61,1.61,13.15,0.87,8.73,58.36,1125.47,685.75,2.59,56.49,40.75,47.25,23.71,0.43,0.25,19.74,-1.63,2.11,-11.64,30.13,23.33,23.89,202502
00029,6859748683.00,1884430774.00,4888042462.00,1712868505.00,51644.00,1213618.00,165297.00,176810.00,2446.00,2.67,1.92,0.23,2.36,44.80,55.20,92.19,2.54,2.13,4.06,2.34,16.81,1.82,5.48,356.18,1975.10,602.58,19.41,61.86,72.89,60.73,19.46,4.70,6.22,24.46,-0.44,0.20,-4.96,35.18,23.68,33.13,202502
00034,6137377343.00,2190368026.00,4254619739.00,1389295605.00,189101.00,2427648.00,85350.00,991372.00,2875.00,3.39,0.48,-0.53,0.65,66.83,33.17,150.38,1.93,0.02,-21.87,0.61,13.66,0.65,5.95,217.80,1460.58,746.17,12.85,56.77,60.54,42.36,24.02,3.12,4.98,22.08,-0.46,1.46,-6.75,24.58,19.93,22.40,202502
