código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,14906772972.00,4822760267.00,9002015812.00,3311537520.00,448885.00,6968100.00,545161.00,4328784.00,5745.00,3.33,0.42,-2.06,1.87,57.34,42.66,157.40,3.51,0.66,68.87,1.85,21.06,1.24,7.63,380.34,1544.54,819.05,27.05,48.37,122.88,66.80,40.13,5.92,9.70,36.58,-1.96,2.41,-7.07,42.33,42.03,39.00,202407
00011,39402232600.00,9144459711.00,24734402247.00,13220698916.00,300901.00,19940171.00,1218852.00,4199060.00,17261.00,1.90,0.19,-0.85,1.72,56.33,43.83,155.30,1.87,1.60,72.22,2.12,8.72,1.13,4.95,1051.25,1377.78,362.63,52.45,72.19,151.75,103.45,52.71,14.34,21.59,49.14,-1.61,0.28,-3.95,13.91,13.91,24.37,202407
00014,11708066164.00,3884364709.00,8057167948.00,2784364711.00,1084205.00,11960302.00,385758.00,4431899.00,10363.00,3.00,1.01,-1.21,1.43,47.79,52.21,156.11,2.38,0.39,25.89,1.42,14.48,0.72,11.98,129.83,764.94,316.81,15.32,83.24,67.87,73.89,50.79,2.77,2.77,25.33,-1.01,-2.31,-9.45,36.84,36.84,32.25,202407
00015,5264959192.00,1743593933.00,2827910824.00,1392594943.00,148952.00,1691274.00,94543.00,997858.00,3483.00,2.26,-0.88,-1.79,1.13,62.55,37.45,210.48,2.78,0.13,81.23,1.12,14.91,0.98,13.25,214.61,799.49,498.57,20.90,54.59,95.91,47.87,44.21,4.74,7.08,35.19,-1.17,1.00,-10.14,38.64,38.54,27.42,202407
00016,3626630428.00,834049716.00,1465815101.00,1486093673.00,2102.00,704.00,0.00,1195.00,1057.00,1.09,-2.67,-2.67,0.00,103.41,0.00,0.00,0.00,0.00,353.77,0.00,26.35,0.00,16.57,565.68,1349.91,732.03,-5.51,36.89,114.99,80.03,2.82,-2.30,-1.95,57.95,-0.95,3.35,-8.48,94.94,94.94,79.36,202407
00017,9872305825.00,3977556708.00,6442509039.00,2173528290.00,2213949.00,6225572.00,348411.00,3342506.00,6009.00,3.09,-0.18,-1.65,1.29,52.39,47.61,171.26,2.33,0.35,40.90,1.26,19.48,1.15,9.78,244.55,1058.85,637.09,16.18,46.72,101.78,63.83,34.50,3.70,5.70,35.30,-1.37,2.16,-9.51,30.35,29.65,33.28,202407
00020,3014860357.00,1213646685.00,2180125830.00,515858519.00,455650.00,2763002.00,195857.00,1181477.00,2046.00,4.74,-0.44,-2.19,1.49,37.77,62.23,153.33,1.36,1.71,42.69,1.47,6.50,1.37,14.37,122.39,1042.15,437.84,35.86,40.54,119.95,109.39,61.37,4.67,8.90,30.77,-1.39,1.92,-12.76,37.11,37.11,13.20,202407
00027,3202054981.00,1267651343.00,2279921238.00,568011380.00,39214.00,2053657.00,50538.00,1747540.00,3161.00,4.42,0.23,-3.61,0.86,72.62,27.38,245.00,2.03,0.42,52.44,0.85,14.63,0.39,12.92,123.14,706.46,359.64,21.44,59.43,103.25,82.79,52.39,3.48,5.58,32.53,-1.60,2.06,-13.62,25.43,25.16,23.44,202407
00029,5286535334.00,1101770541.00,3639177546.00,1356124099.00,49464.00,1268744.00,217772.00,176242.00,4137.00,2.46,1.45,0.23,3.11,40.82,59.18,91.69,2.90,3.41,10.39,3.10,18.74,2.30,6.97,627.56,1379.39,291.50,28.96,65.03,142.78,99.50,37.15,6.18,11.20,39.89,-0.71,0.01,-4.85,26.23,26.23,40.15,202407
00034,4415209359.00,1189932838.00,2978534031.00,1102952731.00,166681.00,2268624.00,100073.00,920352.00,2892.00,2.93,-0.04,-0.46,0.50,66.85,33.15,198.56,1.47,0.02,-15.68,0.48,12.21,0.50,7.95,402.35,1004.33,396.57,21.95,58.48,122.66,69.73,54.26,4.91,7.22,36.77,-0.29,1.40,-6.82,19.44,18.99,37.43,202407
