código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,23841507436.00,10535334046.00,14986234992.00,4745164871.00,0.00,0.00,437890.00,4922358.00,5578.00,3.54,3.35,-3.16,2.75,58.15,41.95,141.73,5.59,0.70,83.06,2.73,20.93,1.27,5.42,155.64,2607.08,1855.87,24.00,46.91,48.51,36.64,13.97,5.01,6.81,18.75,-2.91,2.39,-6.51,35.83,33.56,32.55,202503
00011,49452092327.00,17896824383.00,31539251885.00,16224920610.00,0.00,0.00,1009843.00,4954759.00,16274.00,1.86,1.06,-0.97,1.28,61.23,38.80,154.16,2.00,0.83,50.20,1.53,6.85,0.62,4.40,502.41,1847.94,841.73,13.63,70.74,61.53,49.31,21.46,4.43,7.40,25.78,-0.72,0.10,-3.98,19.69,10.09,19.69,202503
00014,14773221194.00,7114166692.00,10357877279.00,3247754236.00,0.00,0.00,367709.00,5058749.00,10309.00,3.44,6.29,0.09,2.30,46.62,53.38,98.44,2.72,1.82,8.38,2.33,9.99,0.99,9.45,31.98,986.68,615.30,-3.70,82.18,14.88,44.59,17.85,-0.81,-0.81,15.71,-0.86,-1.52,-10.13,25.16,22.41,17.34,202503
00015,7887093400.00,3346628311.00,4733872220.00,1679247084.00,0.00,0.00,74076.00,1089032.00,3477.00,3.52,0.45,-3.72,1.48,58.80,41.20,205.84,3.30,0.21,104.00,1.47,14.77,1.26,7.73,105.73,1364.98,993.28,-6.89,44.71,37.14,31.23,15.55,-1.68,-1.97,19.92,-2.18,1.28,-8.58,31.71,28.85,26.08,202503
00016,4589427504.00,789991408.00,2060867080.00,1874981744.00,0.00,0.00,0.00,1237.00,1070.00,1.10,-2.83,-2.83,0.00,105.68,0.00,0.00,0.00,0.00,525.37,0.00,27.87,0.00,15.86,143.81,1944.61,702.89,1.28,34.16,33.51,39.89,0.92,0.53,-0.72,22.50,-0.69,3.40,-9.72,137.95,116.80,74.33,202503
00017,15933850691.00,8498642116.00,11018541737.00,2768435480.00,0.00,0.00,264092.00,3535498.00,6302.00,4.65,1.44,-3.36,1.46,57.63,42.37,172.77,3.15,0.23,52.83,1.43,15.66,1.30,6.28,106.40,1759.08,1344.71,1.67,44.29,45.40,35.27,14.39,0.33,0.89,19.29,-1.96,2.22,-8.41,28.58,26.08,24.45,202503
00020,4730199762.00,2237186465.00,3303151141.00,694503661.00,0.00,0.00,166080.00,1393251.00,1945.00,5.47,6.17,-1.18,1.57,27.16,72.84,120.46,1.71,1.21,7.80,1.54,8.89,1.39,8.92,53.04,1623.27,897.46,12.19,39.93,35.70,62.11,25.14,1.96,2.25,17.02,-1.13,2.45,-10.82,37.84,36.44,13.50,202503
00027,5071736220.00,2318783269.00,3710341899.00,719326482.00,0.00,0.00,52737.00,1986904.00,3012.00,5.95,6.50,-3.67,1.97,62.66,37.34,143.45,2.03,1.93,58.10,1.95,16.96,1.06,8.43,47.70,1204.43,706.06,2.40,55.75,32.64,44.24,20.65,0.39,0.17,17.81,-1.74,2.12,-11.16,30.04,24.93,28.18,202503
00029,6994019636.00,1870384170.00,4944342192.00,1773950418.00,0.00,0.00,152519.00,185687.00,2438.00,2.53,2.41,0.34,2.51,42.75,57.25,88.98,2.74,2.19,3.29,2.49,17.25,1.93,5.61,314.32,1995.30,592.90,15.55,61.23,63.84,54.38,16.86,3.79,5.12,22.11,-0.44,0.22,-4.95,38.02,23.92,36.10,202503
00034,6388004973.00,2351577318.00,4402755966.00,1404434483.00,0.00,0.00,80680.00,1030653.00,2860.00,3.37,0.89,-0.63,0.71,66.93,33.07,152.97,2.11,0.02,-15.35,0.65,13.43,0.71,5.76,202.27,1510.84,799.59,10.64,57.02,54.85,39.70,21.43,2.56,4.41,20.27,-0.51,1.47,-6.52,24.13,19.12,21.51,202503
