código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00007,11869148687.00,3714622472.00,7165255066.00,2925740541.00,452052.00,6697371.00,595061.00,4304285.00,5726.00,3.02,-0.01,-2.34,1.81,59.27,40.73,183.00,3.39,0.73,87.67,1.80,18.35,1.25,8.77,394.12,1220.68,622.23,29.43,47.28,126.81,70.27,46.00,6.20,9.92,36.11,-1.77,2.51,-6.78,41.70,41.71,34.89,202405
00011,35508550654.00,6803745182.00,22642631123.00,11707431386.00,299614.00,19427383.00,1424391.00,4202168.00,17399.00,1.97,0.55,-0.61,2.11,51.56,48.54,137.66,2.09,2.13,74.52,2.62,8.10,1.36,5.21,986.77,1262.17,245.91,53.63,74.20,155.78,104.08,57.67,13.44,20.32,46.72,-1.55,0.34,-3.96,12.70,12.70,41.00,202405
00014,12748578803.00,3013628810.00,7833223868.00,2571764679.00,1043087.00,11800809.00,570875.00,4211035.00,10367.00,3.92,0.26,-1.71,1.89,45.64,54.36,170.54,2.45,1.23,48.98,1.87,10.48,0.81,11.96,149.12,737.11,239.47,22.93,82.60,78.53,74.47,55.57,3.76,3.76,24.66,-1.06,-1.78,-8.65,34.22,34.22,59.96,202405
00015,4347591911.00,1324861644.00,2177702723.00,1319663899.00,148668.00,1513334.00,136836.00,978269.00,3491.00,2.08,-0.51,-1.51,1.00,64.45,35.55,223.12,2.52,0.15,78.79,0.99,15.37,0.88,16.92,209.48,612.70,376.25,28.86,55.56,102.27,51.45,50.25,6.12,8.89,35.60,-1.02,0.96,-10.36,42.29,42.34,36.17,202405
00016,3750516403.00,605030583.00,1435562515.00,1578506354.00,2108.00,725.00,3.00,1366.00,1085.00,1.20,-1.63,-1.63,0.00,102.51,0.00,3944477.22,0.00,0.00,309.04,0.00,27.79,0.00,17.28,640.68,1322.18,511.19,0.19,37.91,126.11,86.39,3.49,0.08,1.99,62.42,-0.70,3.10,-8.18,122.31,122.31,102.29,202405
00017,8558812001.00,3100023448.00,5317138353.00,2014605260.00,2199872.00,6143093.00,457824.00,3309296.00,5976.00,3.07,-0.41,-1.88,1.32,53.30,46.70,188.14,2.40,0.37,56.37,1.29,16.99,1.15,11.27,261.42,867.48,490.39,22.99,47.43,108.99,67.72,39.13,5.10,7.51,35.59,-1.27,2.18,-9.24,32.35,32.04,29.99,202405
00020,2692545031.00,944926949.00,1907930234.00,466148387.00,462485.00,2703003.00,235400.00,1121133.00,2058.00,4.71,-1.03,-2.98,1.63,33.15,66.85,178.61,1.23,2.42,71.42,1.62,6.57,1.02,17.12,113.27,908.82,321.62,36.28,42.13,127.27,108.74,66.04,4.20,8.52,30.38,-1.40,1.78,-13.02,42.28,42.28,15.69,202405
00027,2808751405.00,888519712.00,2018310655.00,524818471.00,38624.00,2036121.00,77569.00,1779486.00,3206.00,4.24,0.77,-3.40,0.92,66.39,33.61,262.13,2.11,0.32,71.17,0.90,18.01,0.41,15.23,123.06,616.26,245.28,28.15,60.23,111.22,90.54,58.05,4.26,6.78,32.65,-1.52,2.20,-13.69,33.97,33.47,28.48,202405
00029,5291241801.00,996091213.00,3730930270.00,1203391166.00,49723.00,1226780.00,217772.00,176242.00,2602.00,3.39,1.66,0.40,3.48,42.24,57.76,87.31,3.19,3.87,11.22,3.43,15.68,2.37,6.62,626.93,1401.48,262.54,32.54,65.50,150.14,98.62,40.90,6.61,12.11,40.33,-0.75,0.04,-4.86,24.51,24.51,55.81,202405
00034,3752577861.00,879311869.00,2393480549.00,983685751.00,166835.00,2251467.00,143726.00,922225.00,2897.00,2.05,0.24,-0.17,0.81,65.43,34.57,125.91,1.35,0.53,-32.48,0.76,10.37,0.81,9.99,379.99,804.92,290.18,23.36,59.94,126.70,71.83,59.96,4.87,7.39,36.10,-0.24,1.39,-6.95,15.18,14.51,41.39,202405
