código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,15625634000.00,5296866887.00,9701017021.00,3464084205.00,448885.00,6968100.00,545161.00,4328784.00,5745.00,3.33,0.04,-2.32,1.87,56.52,43.48,161.96,3.49,0.63,74.29,1.85,22.17,1.21,7.30,365.16,1659.94,900.10,25.22,47.79,116.63,64.30,36.64,5.61,9.31,35.62,-2.09,2.38,-7.10,43.40,43.15,38.53,202408
00011,40430072656.00,10591329621.00,24948403769.00,13896198895.00,300901.00,19940171.00,1218852.00,4199060.00,17261.00,1.68,0.00,-1.03,1.41,59.02,41.07,172.36,1.76,1.17,71.65,1.79,7.34,0.99,4.93,1030.63,1413.18,441.72,48.17,71.66,143.73,100.73,49.30,13.73,20.65,48.59,-1.64,0.26,-3.97,11.25,11.25,20.28,202408
00014,12437395345.00,4223722716.00,8366888309.00,2892857100.00,1084205.00,11960302.00,385758.00,4431899.00,10363.00,3.16,0.89,-1.22,1.46,47.29,52.71,152.66,2.42,0.39,25.51,1.45,15.63,0.74,11.40,126.98,796.49,347.81,14.00,82.23,63.35,72.94,47.44,2.64,2.64,24.92,-0.99,-2.39,-9.42,38.94,38.94,33.91,202408
00015,5546035275.00,1732424005.00,3160151741.00,1498102888.00,148952.00,1691274.00,94543.00,997858.00,3483.00,2.39,-1.21,-2.04,1.29,60.26,39.74,215.05,3.03,0.14,100.31,1.27,14.29,1.07,12.44,214.08,893.01,498.11,20.92,52.73,90.87,46.40,40.86,4.96,7.25,34.77,-1.27,1.02,-10.05,42.04,41.40,25.69,202408
00016,3474703368.00,833122518.00,1441438668.00,1425467694.00,2102.00,704.00,0.00,1195.00,1057.00,0.99,-2.95,-2.95,0.00,103.93,0.00,0.00,0.00,0.00,377.89,0.00,24.57,0.00,17.54,494.54,1362.60,744.58,-8.38,36.72,103.46,76.96,2.55,-3.50,-4.28,53.04,-0.81,3.45,-8.75,78.76,78.76,88.99,202408
00017,10404889984.00,4502893153.00,6779172284.00,2297688758.00,2213949.00,6225572.00,348411.00,3342506.00,6009.00,3.09,-0.48,-1.81,1.28,54.59,45.41,173.96,2.47,0.29,37.50,1.25,17.45,1.15,9.01,253.37,1112.57,720.78,16.25,46.28,101.48,61.13,31.75,3.78,6.22,35.23,-1.45,2.34,-9.32,28.08,27.49,28.98,202408
00020,3312929864.00,1320256795.00,2391416607.00,547896164.00,455650.00,2763002.00,195857.00,1181477.00,2046.00,4.87,0.01,-1.89,1.51,36.78,63.22,144.88,1.40,1.71,37.03,1.49,7.05,1.37,12.76,128.05,1152.24,485.56,35.89,38.32,114.17,107.98,57.63,4.96,9.05,30.35,-1.49,2.10,-12.33,36.82,36.82,16.38,202408
00027,3604483234.00,1285595204.00,2634122374.00,589833964.00,39214.00,2053657.00,50538.00,1747540.00,3161.00,4.82,0.12,-3.86,0.93,69.44,30.56,245.55,1.88,0.51,65.04,0.92,15.22,0.42,12.06,119.01,827.04,369.12,18.38,59.54,97.31,79.13,48.15,3.06,4.93,31.81,-1.51,2.00,-13.60,27.79,27.60,28.47,202408
00029,5429577377.00,1241755098.00,3705651713.00,1432726012.00,49464.00,1268744.00,217772.00,176242.00,2564.00,2.36,1.22,0.18,2.83,43.25,56.75,93.22,2.76,2.91,8.34,2.83,18.74,2.12,6.88,604.78,1428.84,344.95,26.83,64.47,135.08,98.68,35.02,5.90,10.82,38.87,-0.69,0.03,-4.91,26.59,26.59,40.53,202408
00034,4432255545.00,1342689977.00,2935904033.00,1152773331.00,166681.00,2268624.00,100073.00,920352.00,2892.00,2.77,-0.08,-0.46,0.46,68.32,31.68,183.21,1.43,0.02,-27.69,0.43,12.57,0.46,7.94,392.16,997.95,448.44,19.22,58.51,116.82,68.27,50.63,4.45,6.63,36.23,-0.31,1.43,-6.90,20.85,19.29,27.99,202408
