código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),L1 - Liq con titulos c/cotiz + posición de call y leliq (%),L8_II - Liquidez con títulos con cotiz (%),L9 - Liquidez con leliq y pases (%),fecha
00007,14424857608.00,4468745436.00,8339470863.00,3100973738.00,448885.00,6968100.00,0.00,0.00,0.00,3.28,0.77,-1.96,1.83,59.92,40.08,157.22,3.59,0.64,63.90,1.81,18.76,1.24,7.97,382.70,1427.38,752.18,27.39,48.56,125.19,69.00,43.11,5.88,9.61,36.48,-1.83,2.45,-7.02,46.77,46.75,37.85,202406
00011,37178816648.00,7729386052.00,23225010830.00,12581088184.00,300901.00,19940171.00,0.00,0.00,0.00,1.88,0.48,-0.71,1.98,53.51,46.67,144.35,2.08,1.89,73.64,2.41,7.67,1.29,5.20,1040.09,1291.80,287.73,53.96,73.32,156.01,105.15,55.12,14.15,21.40,48.58,-1.58,0.30,-3.93,12.29,12.29,35.17,202406
00014,12573049337.00,3340500932.00,8685016460.00,2680526594.00,1084205.00,11960302.00,0.00,0.00,0.00,3.50,0.43,-1.58,1.92,46.33,53.67,160.62,2.57,1.16,44.16,1.90,13.47,0.80,11.32,135.50,822.59,267.65,17.36,82.75,71.04,74.47,53.05,3.00,3.00,24.99,-1.06,-2.33,-9.05,37.25,37.25,46.42,202406
00015,5450072778.00,1482313888.00,2723873726.00,1378555129.00,148952.00,1691274.00,0.00,0.00,0.00,2.32,-0.45,-1.57,1.11,63.66,36.34,210.44,2.80,0.15,79.34,1.11,13.39,0.97,14.21,216.16,768.54,422.36,25.83,55.49,100.22,50.23,47.07,5.64,8.22,35.39,-1.06,0.98,-10.13,36.10,36.08,36.45,202406
00016,3544029552.00,694749694.00,1475920574.00,1505836266.00,2102.00,704.00,0.00,0.00,0.00,1.21,-2.14,-2.14,0.00,102.65,0.00,0.00,0.00,0.00,342.98,0.00,33.79,0.00,16.97,597.14,1359.28,597.86,-3.86,37.33,119.34,83.92,3.16,-1.61,-0.69,59.86,-0.82,3.26,-8.36,117.68,117.68,96.66,202406
00017,9455592860.00,3631766478.00,5824182374.00,2075591591.00,2213949.00,6225572.00,0.00,0.00,0.00,3.12,-0.30,-1.95,1.24,55.28,44.72,190.30,2.38,0.31,45.83,1.20,15.85,1.10,10.42,250.81,952.95,579.52,18.28,47.08,104.29,66.09,36.94,4.12,6.36,35.54,-1.27,2.07,-9.38,30.25,29.15,30.07,202406
00020,2880050593.00,1061086555.00,1996242723.00,496764392.00,462485.00,2703003.00,0.00,0.00,0.00,4.71,-0.81,-2.85,1.43,35.83,64.17,182.63,1.11,2.01,67.42,1.41,5.73,1.32,16.07,117.04,950.92,372.95,37.28,41.07,123.00,109.48,63.67,4.58,8.84,30.53,-1.40,1.83,-12.91,42.84,42.84,13.25,202406
00027,3214634363.00,1191098794.00,2096923941.00,540921552.00,39214.00,2053657.00,0.00,0.00,0.00,4.22,0.27,-3.99,0.82,69.85,30.15,271.70,2.08,0.28,62.21,0.81,8.30,0.36,13.64,123.71,644.76,338.24,23.91,59.61,106.95,86.79,55.72,3.74,6.05,32.47,-1.59,2.13,-13.53,18.81,18.52,21.62,202406
00029,5909070537.00,1039197417.00,4034876085.00,1287030941.00,49464.00,1268744.00,0.00,0.00,0.00,3.38,1.72,0.37,3.49,40.55,59.45,87.71,3.15,3.99,12.64,3.42,14.95,2.32,6.34,633.78,1515.41,272.27,31.03,65.33,147.39,99.29,39.20,6.42,11.52,40.11,-0.73,0.02,-4.81,23.21,23.21,54.85,202406
00034,4021138116.00,943373631.00,2646853595.00,1045788811.00,166681.00,2268624.00,0.00,0.00,0.00,2.32,0.10,-0.35,0.50,66.85,33.15,170.42,1.47,0.02,-27.58,0.48,14.87,0.50,9.08,396.26,891.11,311.79,22.09,59.50,124.71,71.57,57.34,4.77,7.06,36.33,-0.26,1.40,-6.79,22.66,22.02,39.53,202406
00044,2141934847.00,275001997.00,1495521110.00,359154238.00,8102.00,773392.00,0.00,0.00,0.00,4.63,1.18,0.17,2.88,41.38,58.62,92.89,3.13,2.53,-11.56,2.87,14.13,1.96,9.90,215.04,898.14,125.39,27.85,71.01,99.11,96.85,65.36,4.06,4.77,22.35,-0.35,1.67,-6.71,74.39,74.39,32.38,202406
00045,768364871.00,114137316.00,489839862.00,167843256.00,29210.00,555994.00,0.00,0.00,0.00,3.29,0.09,-0.38,0.52,68.90,31.11,181.45,1.50,0.09,-25.92,0.42,2.97,0.52,11.73,313.11,846.57,202.72,-5.01,43.40,89.60,77.41,48.94,-1.61,3.86,39.46,-0.33,1.24,-9.17,38.68,39.09,18.20,202406
00065,237060110.00,75628821.00,147519815.00,60217207.00,3155.00,271929.00,0.00,0.00,0.00,2.94,2.60,-0.37,1.45,34.05,65.95,117.45,2.05,0.30,-0.69,1.45,13.63,0.97,20.21,132.78,343.92,166.73,10.88,63.77,104.14,83.15,41.82,2.42,5.40,42.88,-0.80,1.91,-17.45,21.90,21.90,35.35,202406
00072,12086866252.00,5355035827.00,7078196610.00,2677253296.00,1475228.00,9179477.00,0.00,0.00,0.00,3.18,1.57,-1.83,1.61,62.35,38.22,149.69,3.18,0.64,40.84,1.59,18.05,1.27,10.11,270.62,1112.64,787.11,33.61,47.10,128.45,65.15,40.46,6.51,9.33,35.22,-1.61,3.80,-9.19,31.84,31.80,30.10,202406
00083,658552625.00,122742090.00,459100558.00,168815119.00,6227.00,287019.00,0.00,0.00,0.00,2.90,5.77,4.38,7.81,57.32,42.68,35.88,1.74,12.34,-5.05,7.60,5.49,2.25,12.30,299.63,617.44,167.15,21.42,77.92,136.07,70.29,33.64,5.19,10.21,45.09,-0.97,1.00,-11.01,7.87,7.87,67.72,202406
00086,456982421.00,81580689.00,318271815.00,66663139.00,13607.00,161588.00,0.00,0.00,0.00,5.39,1.48,-0.61,1.08,68.46,31.54,138.22,1.98,0.66,-9.92,0.96,3.40,1.08,10.94,211.31,1182.19,303.50,26.64,46.50,110.27,69.23,55.34,5.22,9.03,33.54,-0.52,1.57,-10.22,66.11,67.09,16.36,202406
00093,849718736.00,109377880.00,542897386.00,248926863.00,65535.00,515396.00,0.00,0.00,0.00,2.41,-0.75,-1.39,1.88,59.90,40.10,229.02,2.38,1.54,121.98,1.83,7.42,1.26,16.03,267.42,672.26,139.16,10.52,63.65,117.99,83.13,50.10,2.71,6.89,45.96,-0.82,0.53,-11.37,11.61,11.61,29.80,202406
00094,696514929.00,104394264.00,355456309.00,254039950.00,27939.00,819588.00,0.00,0.00,0.00,1.74,2.02,0.32,3.14,56.25,43.75,78.13,3.04,3.22,-0.55,3.12,5.18,1.08,22.98,273.65,421.35,123.92,36.84,61.45,136.38,70.51,38.29,11.96,16.15,61.93,-0.63,1.80,-16.18,10.14,10.14,33.93,202406
