código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,19848259170.00,7439794467.00,13162841243.00,3837977878.00,450759.00,6957100.00,537614.00,4569380.00,5758.00,4.02,0.87,-3.13,1.89,55.56,44.44,166.30,3.62,0.50,74.94,1.87,32.62,1.06,5.58,327.44,2253.78,1277.39,22.23,45.93,99.30,51.58,23.04,4.80,8.09,30.18,-2.24,2.27,-6.55,52.58,52.47,47.84,202411
00011,48863496243.00,13905980895.00,32085258832.00,15087506121.00,309041.00,19913403.00,1192073.00,4450451.00,17126.00,1.63,0.53,-0.67,1.16,60.64,39.39,150.27,1.54,0.91,35.18,1.49,8.50,0.78,4.04,891.89,1841.00,610.86,34.60,71.69,110.98,80.83,38.08,10.70,14.83,41.34,-1.50,0.21,-3.85,12.05,12.03,11.17,202411
00014,14325410700.00,5305531213.00,10299811376.00,3037568146.00,1141488.00,12089907.00,390781.00,4431239.00,10364.00,3.42,2.39,-0.63,1.46,45.40,54.60,123.12,2.37,0.36,2.33,1.45,14.89,0.73,9.80,103.58,982.85,445.24,7.12,82.01,49.31,62.95,32.59,1.48,1.48,23.13,-1.04,-1.83,-9.92,34.02,34.01,21.00,202411
00015,6738058490.00,2131855003.00,3947232441.00,1574034161.00,148837.00,1779130.00,87778.00,1050961.00,3413.00,2.86,-0.79,-2.34,1.28,55.76,44.24,206.66,2.71,0.14,84.91,1.28,20.69,1.11,10.78,171.60,1135.43,625.07,12.08,52.05,69.51,39.33,26.48,2.97,3.44,29.43,-1.29,1.08,-9.97,49.43,49.43,33.05,202411
00016,3890965917.00,677718487.00,1757448125.00,1607683204.00,2092.00,714.00,0.00,1145.00,1061.00,1.01,-3.56,-3.56,0.00,108.69,0.00,0.00,0.00,0.00,677.33,0.00,28.18,0.00,17.23,320.14,1655.32,606.76,-14.23,38.32,70.62,66.43,1.38,-5.99,-9.58,39.12,-0.95,3.56,-9.29,102.79,102.76,51.84,202411
00017,14153767587.00,6263651897.00,9450169454.00,2538020159.00,2204595.00,6301113.00,31249.00,3368055.00,6188.00,3.77,-0.93,-2.86,1.14,56.78,43.22,204.65,2.33,0.24,49.58,1.12,20.58,1.02,7.06,187.52,1508.24,984.03,8.91,46.94,76.50,48.66,21.24,1.97,2.70,27.97,-1.70,2.17,-9.00,30.66,30.09,28.65,202411
00020,4092562391.00,1748189133.00,3054133001.00,623289881.00,619115.00,2765821.00,193173.00,1238566.00,2023.00,5.43,1.35,-1.97,1.18,32.01,67.99,152.90,1.23,1.07,15.72,1.15,9.21,1.06,10.35,130.18,1492.98,677.55,36.29,39.91,103.67,93.00,40.90,5.85,9.90,31.16,-1.51,2.31,-12.83,38.99,38.99,12.20,202411
00027,4098176138.00,1927648442.00,2857916038.00,654832727.00,40217.00,1984110.00,51709.00,1786686.00,3099.00,4.89,0.39,-5.46,0.84,68.13,31.87,265.08,1.54,0.51,65.59,0.83,18.47,0.46,10.32,107.62,915.92,576.41,14.22,58.61,81.15,61.89,34.18,2.39,3.56,28.15,-1.62,1.99,-12.70,30.76,30.48,25.28,202411
00029,6613017463.00,1588259807.00,4739126620.00,1583744609.00,50809.00,1280287.00,174904.00,175070.00,2449.00,2.29,1.47,0.14,2.32,44.33,55.67,94.51,2.38,2.25,2.15,2.30,19.11,1.92,5.72,488.05,1912.19,490.17,16.17,64.17,106.28,84.06,26.57,3.75,7.12,32.83,-0.68,0.10,-5.06,23.07,23.04,21.05,202411
00034,6005603150.00,2081961500.00,4227199102.00,1301597298.00,170192.00,2304822.00,93066.00,962788.00,2892.00,3.57,0.04,-0.63,0.41,72.09,27.91,192.39,1.43,0.01,-32.13,0.38,12.78,0.41,5.87,321.89,1437.34,703.78,15.85,57.59,93.96,55.54,35.48,3.86,6.26,31.55,-0.39,1.43,-7.12,20.72,18.83,18.39,202411
00044,2709641871.00,528458124.00,1827234565.00,467630748.00,8185.00,783332.00,53892.00,338831.00,1526.00,4.57,1.10,-0.14,1.79,39.35,60.65,106.21,2.25,1.09,5.77,1.79,11.37,1.04,9.36,176.54,1186.68,288.09,24.96,72.34,83.25,75.34,45.58,3.97,5.01,21.70,-0.37,1.33,-7.49,93.05,93.30,16.86,202411
00045,923976083.00,207621629.00,669169142.00,197940237.00,30416.00,489375.00,14116.00,172822.00,583.00,3.66,0.18,-0.58,0.65,66.76,33.25,172.40,1.63,0.16,-15.46,0.51,8.55,0.65,9.50,230.04,1135.25,359.59,21.13,41.18,86.02,56.87,33.81,5.50,7.92,33.23,-0.42,1.06,-9.74,35.93,36.03,11.79,202411
00065,298083389.00,101382970.00,185655791.00,77530876.00,3168.00,277144.00,27059.00,162550.00,417.00,2.84,3.49,-0.12,1.88,25.18,74.82,104.15,2.45,0.21,1.15,1.88,16.12,1.21,17.28,108.76,442.96,235.11,12.24,64.10,76.95,76.96,26.12,3.00,4.59,37.91,-0.70,2.06,-17.33,25.89,25.88,25.89,202411
00072,18210433056.00,7109689914.00,12938441763.00,3312766107.00,1113529.00,10094224.00,357098.00,1166197.00,6138.00,4.14,-0.86,-4.15,1.77,56.25,43.81,193.09,3.17,0.68,90.02,1.76,28.03,1.46,7.22,241.15,2092.58,1093.93,30.38,42.63,107.93,50.54,22.42,6.19,8.03,32.44,-2.10,3.59,-9.12,37.87,37.87,37.41,202411
00083,735019070.00,228056274.00,478265037.00,216013346.00,11871.00,351444.00,25239.00,193287.00,735.00,2.40,5.39,2.46,4.90,46.53,53.47,59.09,0.93,9.46,-3.34,4.87,7.85,1.62,11.53,227.23,646.65,313.30,16.97,75.90,93.58,55.29,22.10,4.54,6.75,37.51,-1.34,0.99,-11.02,12.09,12.06,12.09,202411
00086,457640300.00,140623168.00,327651636.00,83871686.00,13650.00,162050.00,10428.00,120954.00,266.00,4.46,0.35,-0.97,1.00,64.17,35.83,148.82,1.54,0.70,-0.14,0.93,3.43,1.00,10.92,160.79,1223.04,525.67,22.43,42.59,88.16,58.57,39.39,4.24,6.22,28.12,-0.60,1.71,-10.36,40.59,41.34,4.79,202411
00093,1053334832.00,263049752.00,682961337.00,300331478.00,70023.00,520426.00,52503.00,321633.00,780.00,2.51,-1.38,-2.34,0.98,54.29,45.71,326.69,1.24,0.75,106.44,0.97,8.16,0.68,11.83,228.09,866.97,346.73,10.89,62.73,88.79,66.82,31.21,3.14,6.21,40.69,-0.90,0.51,-11.24,12.61,12.59,12.61,202411
00094,795918764.00,197460996.00,432045686.00,246433917.00,27973.00,820026.00,35724.00,103862.00,829.00,2.02,1.22,0.25,2.41,50.41,49.59,87.97,2.40,2.43,0.03,2.40,6.37,0.84,17.55,257.42,517.99,236.36,32.07,56.03,110.35,56.09,20.00,10.76,14.55,51.95,-0.58,2.04,-14.39,10.98,10.96,10.98,202411
00097,1444283192.00,231375838.00,968530657.00,381667551.00,11940.00,401256.00,34376.00,425128.00,1157.00,2.78,2.42,0.10,2.85,22.04,77.96,94.62,3.47,0.65,16.49,2.68,6.92,1.45,10.95,244.26,832.41,200.14,23.48,68.28,95.77,67.51,18.23,6.10,7.36,34.29,-0.49,1.53,-10.19,10.35,10.32,10.34,202411
00131,24709532.00,0.00,9785807.00,10701545.00,0.00,50.00,0.00,0.00,34.00,1.31,-0.28,-0.28,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,7.64,0.00,75.18,-1.16,285.32,0.00,-106.43,55.80,-0.61,97.37,39.72,-44.08,-44.08,24.56,0.00,0.63,-21.85,19.44,19.29,19.44,202411
00143,159746018.00,35255258.00,120564032.00,13035972.00,0.00,6248956.00,46309.00,2025.00,344.00,9.38,30.60,12.82,6.62,13.64,86.36,54.54,7.66,0.00,8.97,6.61,29.26,0.17,19.83,-17.72,349.21,101.05,-93.24,55.16,-39.19,76.00,13.87,-8.69,-9.91,24.48,-1.30,-3.90,-20.60,35.73,35.72,42.45,202411
00147,95514902.00,22278181.00,44649583.00,24089041.00,451.00,271.00,104.00,347.00,113.00,1.77,-0.51,-0.95,0.31,99.95,0.05,372.11,23.16,0.30,1.15,0.31,6.90,0.28,25.17,25.41,389.91,195.94,15.07,61.39,17.62,72.52,49.65,3.62,2.00,25.18,-0.23,-0.66,-16.65,60.99,60.97,10.36,202411
00150,5532630069.00,1878057305.00,3378025918.00,1520760797.00,263839.00,1355778.00,45563.00,147190.00,2804.00,2.35,-1.03,-2.39,1.32,54.92,45.23,241.42,2.40,0.43,96.55,1.30,24.12,1.17,10.29,226.15,1194.73,672.97,7.99,50.29,79.86,44.21,21.70,2.08,2.59,30.55,-0.91,2.29,-9.17,40.19,40.25,37.83,202411
00165,504601281.00,60298163.00,142202204.00,325896660.00,36.00,76.00,0.00,0.00,165.00,0.42,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,-98.94,0.00,3.26,0.00,25.85,466.86,855.11,362.86,-10.17,83.86,78.82,25.88,19.76,-7.41,-6.38,67.96,0.00,5.08,-12.29,281.55,281.54,17.55,202411
00191,7293484090.00,1275463368.00,4454838716.00,2545666139.00,371179.00,3357240.00,147411.00,677417.00,4610.00,1.80,-0.87,-0.95,0.31,79.95,20.42,683.71,1.16,0.09,86.60,0.31,14.08,0.23,11.41,337.94,954.22,268.34,24.20,49.52,89.95,47.77,36.74,8.74,8.74,40.82,-0.41,2.81,-9.61,22.69,22.68,22.69,202411
00198,1475636840.00,188880863.00,1304594050.00,129734798.00,1298.00,1957.00,82.00,521.00,283.00,10.16,-1.51,-1.51,0.00,99.60,0.40,5093289.74,0.00,0.00,-44.04,0.00,45.70,0.00,2.96,290.86,4568.96,664.21,11.10,73.61,98.66,29.98,24.84,0.89,1.30,12.12,-0.24,0.81,-2.71,52.13,51.59,51.59,202411
00247,102922260.00,1246504.00,32960316.00,56680483.00,22285.00,7917.00,1025.00,1510.00,180.00,0.82,-0.01,-0.01,0.21,98.73,1.27,134.56,0.56,0.20,-76.04,0.11,1.35,0.21,38.79,408.84,182.84,6.95,19.19,52.03,100.75,62.49,12.11,10.82,14.08,63.46,-0.26,10.24,-13.90,4.23,4.22,4.23,202411
00254,487383951.00,61449129.00,198417545.00,131882859.00,611.00,1685.00,178.00,247.00,195.00,2.20,-0.42,-0.42,0.77,99.85,0.15,202.02,16.02,0.75,-1.22,0.70,8.00,0.77,11.38,329.15,1002.56,309.41,37.58,66.75,75.81,64.48,35.27,13.00,16.06,37.98,-0.31,0.80,-7.96,102.65,98.98,19.52,202411
00266,140027735.00,11062162.00,42466698.00,72376517.00,68.00,74.00,2.00,1.00,83.00,0.01,-0.01,-0.01,0.00,99.97,0.03,0.00,0.00,0.00,91.87,0.00,16.55,0.00,60.74,233.60,506.47,132.82,30.27,77.47,110.43,40.56,28.33,12.26,17.80,55.14,-0.01,12.73,-19.14,73.46,47.85,31.05,202411
00268,388223259.00,106919144.00,218842849.00,145268610.00,1999.00,83872.00,7574.00,28653.00,338.00,1.67,0.41,-0.34,2.25,11.00,89.00,119.68,1.26,10.20,0.27,2.24,3.24,2.00,13.67,308.56,643.59,282.31,33.95,71.36,96.02,69.64,22.85,13.74,14.14,49.56,-0.56,2.48,-12.59,5.76,5.75,5.76,202411
00269,5771422.00,227842.00,2774709.00,2363708.00,48.00,2594.00,22.00,122.00,22.00,1.44,-0.03,-0.03,0.25,47.28,52.72,408.82,0.48,0.00,-0.12,0.09,40.81,0.00,87.99,-77.15,126.05,10.35,-103.15,60.49,-70.62,44.40,0.34,-42.21,-42.29,10.91,-0.01,-1.52,-37.46,90.52,85.09,84.92,202411
00277,55962231.00,27186547.00,31868607.00,19667840.00,223.00,703.00,63.00,51881.00,63.00,1.82,1.03,-4.15,7.97,17.89,82.11,148.12,9.70,0.00,95.02,5.23,6.79,6.51,19.78,136.74,496.15,442.27,11.63,37.94,86.85,114.23,50.07,3.54,1.77,55.67,-5.02,0.87,-19.35,11.79,11.82,13.54,202411
00281,37186826.00,3949802.00,15800092.00,11227770.00,417.00,1111.00,536.00,562.00,75.00,2.02,0.21,-0.42,0.67,97.59,2.41,181.73,0.49,0.68,33.73,0.63,22.13,0.15,44.67,15.22,209.26,53.10,-5.70,63.66,11.91,44.52,20.30,-1.73,-1.91,24.53,-0.31,5.51,-23.71,48.00,47.98,47.98,202411
00285,13536507281.00,5168644177.00,8039273074.00,3923275150.00,761781.00,6218021.00,341237.00,3913932.00,7567.00,2.36,0.01,-1.22,1.16,44.18,55.86,174.98,1.52,0.70,34.50,1.13,20.37,0.68,9.04,265.37,1049.50,641.85,8.49,58.09,74.99,61.10,29.35,2.82,3.80,35.76,-0.91,2.38,-9.38,44.06,43.29,34.04,202411
00299,2287193889.00,728588696.00,1491512036.00,310185405.00,53854.00,489676.00,23266.00,187296.00,1502.00,4.64,-1.66,-2.73,0.43,88.04,11.99,356.25,2.62,0.14,42.80,0.39,29.46,0.32,9.58,139.53,989.25,481.96,17.10,52.08,94.30,46.71,36.10,2.52,3.39,24.84,-0.48,2.59,-9.94,51.73,48.90,35.43,202411
00300,1301158600.00,301700988.00,580885328.00,472307856.00,0.00,0.00,78.00,9651.00,345.00,1.69,0.25,-0.48,0.63,101.45,0.00,248.94,0.00,0.62,-17.19,0.45,2.08,0.17,6.76,669.96,1652.55,843.79,10.18,73.74,88.90,33.41,39.07,3.36,4.40,37.64,-0.41,0.16,-4.38,91.30,88.86,5.27,202411
00301,297775997.00,56215281.00,215485842.00,51063390.00,100503.00,377293.00,12646.00,5.00,622.00,4.58,5.18,2.87,3.22,32.93,67.07,44.21,4.80,0.00,-52.47,3.22,29.83,1.25,24.25,56.12,345.62,86.45,16.69,52.35,77.52,112.79,18.41,2.81,2.66,35.28,-0.37,3.73,-23.24,54.02,54.02,40.24,202411
00305,51154214.00,10385064.00,36205424.00,12082139.00,504.00,880.00,110.00,587.00,82.00,1.50,2.37,-1.00,0.39,99.97,0.03,374.63,0.00,0.39,1.16,0.39,14.17,0.39,15.59,98.08,439.46,121.22,-5.91,58.97,56.77,82.69,14.99,-2.13,-2.92,41.28,-0.31,3.34,-20.86,33.04,32.98,11.89,202411
00309,215229986.00,79088688.00,133515184.00,70465902.00,1543.00,195409.00,6926.00,69294.00,345.00,1.93,8.47,4.87,7.94,46.75,53.27,58.92,2.10,14.60,-32.70,7.94,2.11,6.09,19.58,75.51,386.02,235.57,-11.27,41.36,43.17,63.15,13.11,-4.23,-3.70,40.32,-3.73,1.62,-21.44,4.30,4.29,3.27,202411
00310,209129788.00,112816518.00,146502976.00,52908738.00,850.00,178210.00,5452.00,112696.00,274.00,2.95,22.74,-2.86,1.32,28.57,71.43,121.14,1.28,1.40,-1.84,1.30,3.26,0.52,19.03,-8.26,531.39,386.25,-22.10,45.02,-8.44,68.53,20.82,-5.98,-4.95,31.64,-2.84,-0.97,-27.63,7.55,7.53,4.67,202411
