código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,20021327674.00,6909795270.00,14042189738.00,3720369140.00,450759.00,6957100.00,537614.00,4569380.00,5758.00,4.23,-0.47,-3.15,1.71,56.00,44.00,176.96,3.23,0.51,79.44,1.69,34.63,1.05,5.34,352.83,2414.17,1185.25,23.47,46.31,107.30,55.97,27.16,5.14,8.70,32.52,-2.16,2.25,-6.66,60.17,52.98,54.83,202410
00011,45324746663.00,12965572674.00,29727445612.00,14181407473.00,309041.00,19913403.00,1192073.00,4450451.00,17126.00,1.65,-0.23,-1.35,1.17,60.32,39.75,201.68,1.47,0.97,82.55,1.51,9.56,0.81,4.24,921.69,1695.47,565.00,33.59,71.43,118.23,88.03,42.50,10.18,14.36,43.22,-1.73,0.24,-3.89,26.39,13.86,25.48,202410
00014,13720103292.00,4997269122.00,9732911563.00,2968131173.00,1141488.00,12089907.00,390781.00,4431239.00,10364.00,3.40,1.67,-1.06,1.36,46.32,53.68,143.00,2.24,0.35,12.90,1.36,15.38,0.69,10.23,120.55,927.37,419.36,12.45,82.13,58.22,66.55,38.32,2.55,2.55,25.28,-1.01,-2.36,-9.89,46.00,37.03,30.04,202410
00015,6629766576.00,2044294661.00,3937743423.00,1610259432.00,148837.00,1779130.00,87778.00,1050961.00,3413.00,2.79,-0.72,-2.01,1.21,55.26,44.74,210.37,2.51,0.15,76.69,1.19,20.07,1.02,10.64,190.39,1110.97,586.15,21.13,52.72,76.99,41.61,30.79,5.24,6.70,31.66,-1.25,1.11,-10.03,44.85,44.69,32.48,202410
00016,3730113176.00,698407042.00,1577942687.00,1549437904.00,2092.00,714.00,0.00,1145.00,1061.00,0.85,-3.70,-3.70,0.00,106.90,0.00,0.00,0.00,0.00,657.61,0.00,29.77,0.00,18.03,410.71,1491.78,621.64,-9.13,37.80,87.57,71.02,1.84,-3.86,-6.03,46.67,-1.03,3.43,-9.02,126.90,99.93,80.92,202410
00017,14105969903.00,5823040808.00,9732014931.00,2448323172.00,2204595.00,6301113.00,31249.00,3368055.00,6188.00,3.76,-0.31,-2.03,1.16,55.62,44.38,177.34,2.29,0.26,29.78,1.13,25.37,1.03,6.89,219.95,1601.75,938.91,14.67,47.01,88.05,52.83,24.10,3.34,4.71,31.18,-1.49,2.21,-9.11,34.09,33.76,33.38,202410
00020,3786567275.00,1631655506.00,2794415850.00,582430552.00,619115.00,2765821.00,193173.00,1238566.00,2023.00,5.39,0.55,-1.97,1.30,34.29,65.71,147.68,1.41,1.09,22.59,1.27,8.10,1.17,11.32,125.73,1347.35,621.02,33.87,38.76,106.09,98.82,47.96,5.20,9.59,31.26,-1.52,2.12,-12.96,42.46,38.63,14.61,202410
00027,3930806633.00,1674317240.00,2878903383.00,630424970.00,40217.00,1984110.00,51709.00,1786686.00,3099.00,5.06,0.03,-5.00,0.85,67.88,32.13,264.04,1.58,0.50,66.05,0.84,19.40,0.46,10.84,113.09,902.34,488.32,15.63,59.47,88.30,68.19,38.86,2.66,4.23,30.17,-1.56,2.04,-13.31,31.67,31.53,26.14,202410
00029,6173566446.00,1538386245.00,4326494314.00,1541350459.00,50809.00,1280287.00,174904.00,175070.00,2449.00,2.37,1.38,0.10,2.26,46.31,53.69,96.23,2.33,2.19,2.56,2.25,19.57,1.95,5.99,553.41,1665.68,452.64,21.45,63.90,119.34,90.16,29.13,4.92,8.99,35.87,-0.67,0.08,-4.95,49.87,25.63,47.80,202410
00034,4943120746.00,1436570128.00,3235628585.00,1253997321.00,170192.00,2304822.00,93066.00,962788.00,2892.00,2.89,-0.06,-0.59,0.50,64.33,35.67,196.25,1.36,0.02,-18.96,0.46,16.93,0.49,7.65,351.92,1100.75,480.86,17.92,57.93,102.02,60.63,39.95,4.36,7.20,33.60,-0.35,1.45,-7.05,32.16,26.67,29.88,202410
