código de la entidad,C_10001000 - ACTIVO,C_10001030 - PRESTAMOS,C_10002010 - DEPOSITOS,C_10003000 - PATRIMONIO NETO,C_30000000 - CANTIDAD DE CUENTAS CORRIENTES,C_40000000 - CANTIDAD DE CUENTAS DE AHORRO,C_50000000 - CANTIDAD DE OPERACIONES A PLAZO FIJO,C_60000000 - CANTIDAD DE OPERACIONES POR PRESTAMOS,C_70000000 - DOTACION DE PERSONAL,C1 - Apalancamiento (en veces),C2 - Pérdida Potencial de Cartera en Situación 2 a 5 (%),C3 - Pérdida Potencial de Cartera en Situación 3 a 5 (%),A11 - Cartera Irregular Sector Privado (%),A12 - Participación Cartera Comercial Sector Privado (%),A13 - Participación Cartera Consumo Sector Privado (%),A14 - Previsiones sobre Cartera Irregular Total (%),A16 - Cartera Irregular Consumo Sector Privado (%),A17 - Cartera Irregular Comercial Sector Privado (%),A21 - Posición de Previsiones Mín Sector Priv No Fciero (%),A9 - Total Cartera Irregular / Total Financiaciones (%),AG29 - Efectivo y Depósito en Bancos / Activo (%),AG3 - Importancia de Cartera Vencida del Sector Privado (%),E1 - Absorción de Gastos de Ad. con Volúmen de Negocio (%),E2 - Margen de Rentabilidad Operat./Gastos de Estructura (%),E4 - Depósitos por Empleado (en millones de pesos),E5 - Financiaciones por Empleado (en millones de pesos),R1 - Rendimiento Anual del Patrimonio ( ROE) (%),R17 - Gastos en Personal / Gastos de Administración (%),R2 - Rendimiento Ordinario del Patrimonio (%),R8 - Tasa Implicita Préstamos Totales (%),R9 - Tasa Implicita Depósitos Totales (%),RG1 - Retorno sobre Activos ( ROA) (%),RG15 - Retorno sobre Activos (ROA) antes Imp. de Gcias (%),RG2_II - Margen Financiero en Términos de Activo (%),RG3 - Cargos por Incobrabilidad / Activo  (%),RG4_II - Resultados por Servicios / Activo (%),RG5 - Gastos de Administración / Activo  (%),"L1 - Liq con tit c/cotiz+posición de CALL, LELIQ y LEFIs(%)",L8_II - Liquidez con títulos con cotiz (%),"L9 - LIQUIDEZ CON LELIQ, PASES y LEFI (%):",fecha
00007,19166068158.00,6091816953.00,13193043991.00,3577372798.00,450759.00,6957100.00,0.00,0.00,0.00,4.09,-0.57,-2.68,1.85,56.06,43.94,165.94,3.47,0.58,76.24,1.82,32.81,1.12,5.88,354.91,2263.38,1041.18,24.98,47.97,112.91,60.71,31.85,5.53,9.24,34.53,-2.14,2.34,-7.05,56.78,49.02,52.75,202409
00011,43309350740.00,11749396018.00,27141691605.00,14416899374.00,309041.00,19913403.00,0.00,0.00,0.00,1.68,-0.08,-1.21,1.29,59.72,40.35,187.94,1.63,1.05,79.01,1.64,8.08,0.90,4.46,981.73,1550.64,502.69,41.96,72.30,127.58,95.42,46.22,12.38,17.93,45.09,-1.68,0.25,-3.84,27.38,13.65,25.51,202409
00014,13229672942.00,4558635953.00,9381683169.00,2916088391.00,1141488.00,12089907.00,0.00,0.00,0.00,3.34,1.15,-1.28,1.46,46.89,53.11,152.39,2.42,0.37,25.32,1.45,15.20,0.74,10.72,132.48,895.30,379.72,18.91,82.42,65.80,70.57,43.37,3.73,3.73,26.33,-1.01,-2.39,-9.81,46.76,37.45,30.92,202409
00015,6775466502.00,1881530997.00,3907283784.00,1526083756.00,148837.00,1779130.00,0.00,0.00,0.00,2.82,-0.65,-1.73,1.28,58.27,41.73,195.27,2.88,0.13,73.96,1.26,25.31,1.09,10.83,207.87,1104.59,540.41,24.65,52.20,86.32,44.56,35.82,6.01,8.11,34.03,-1.24,1.08,-10.13,58.16,54.34,44.26,202409
00016,3504350269.00,778379453.00,1509266687.00,1476405153.00,2092.00,714.00,0.00,0.00,0.00,1.03,-2.91,-2.91,0.00,103.70,0.00,0.00,0.00,0.00,421.33,0.00,24.51,0.00,18.17,467.10,1426.70,690.40,-4.24,36.53,100.47,73.59,2.23,-1.78,-2.26,51.87,-0.82,3.62,-9.04,130.22,102.02,76.87,202409
00017,12340472561.00,5104970960.00,8538533339.00,2353991890.00,2204595.00,6301113.00,0.00,0.00,0.00,3.75,-0.77,-2.05,1.28,54.59,45.41,186.66,2.47,0.29,47.77,1.25,24.64,1.15,7.61,244.03,1406.28,820.46,19.36,46.38,96.78,57.26,27.85,4.49,6.92,33.77,-1.46,2.33,-9.20,36.73,36.28,35.31,202409
00020,3511190798.00,1483942798.00,2568100732.00,565792529.00,619115.00,2765821.00,0.00,0.00,0.00,5.12,0.65,-1.38,1.48,36.54,63.46,131.06,1.42,1.58,21.23,1.45,7.87,1.34,12.36,124.52,1239.55,557.13,34.74,39.05,110.69,104.38,53.34,5.08,9.42,31.32,-1.48,2.09,-12.99,40.87,36.70,14.79,202409
00027,3843568275.00,1520171638.00,2752333432.00,605336044.00,40217.00,1984110.00,0.00,0.00,0.00,5.00,0.11,-4.24,0.85,69.55,30.45,250.48,1.74,0.46,57.58,0.84,20.70,0.46,11.38,118.96,863.86,441.11,18.33,59.58,95.21,74.25,43.65,3.10,5.02,31.59,-1.54,2.05,-13.55,34.72,34.55,28.10,202409
00029,5915426606.00,1421994454.00,4144581213.00,1483896678.00,50809.00,1280287.00,0.00,0.00,0.00,2.27,1.37,0.12,2.49,46.03,53.97,95.36,2.58,2.39,3.91,2.49,20.87,1.88,6.19,594.34,1597.36,410.36,26.17,64.06,129.45,95.47,32.08,5.89,10.50,37.97,-0.69,0.04,-4.90,51.96,26.66,49.87,202409
00034,4913429054.00,1386485704.00,3249437119.00,1196247935.00,170192.00,2304822.00,0.00,0.00,0.00,2.88,-0.06,-0.52,0.50,65.65,34.35,187.35,1.43,0.01,-22.24,0.46,18.38,0.50,7.59,380.00,1106.44,464.39,19.78,58.65,112.29,65.48,46.14,4.70,7.46,35.75,-0.35,1.46,-7.02,33.28,27.54,30.95,202409
00044,2569948889.00,395591080.00,1766711401.00,416690126.00,8185.00,783332.00,0.00,0.00,0.00,4.15,0.50,-0.38,1.61,43.48,56.52,123.25,2.73,0.14,18.72,1.58,16.44,1.05,8.82,220.60,1110.56,200.08,28.64,71.77,97.00,88.26,55.91,4.49,5.67,23.17,-0.36,1.47,-6.89,88.49,74.01,35.55,202409
00045,863398293.00,183139484.00,599650245.00,190616277.00,30416.00,489375.00,0.00,0.00,0.00,3.47,0.14,-0.39,0.66,68.09,31.93,156.56,1.69,0.18,-22.04,0.47,8.30,0.66,9.99,274.44,1007.70,313.28,27.04,41.86,100.04,65.52,40.86,7.21,11.28,37.79,-0.36,1.14,-9.72,42.50,36.65,18.07,202409
00065,277667079.00,85490243.00,174928438.00,69568657.00,3168.00,277144.00,0.00,0.00,0.00,2.99,2.86,0.45,2.20,25.99,74.01,86.09,2.88,0.25,-0.67,2.20,17.24,1.23,18.68,119.36,415.14,196.67,10.34,64.52,89.00,81.93,33.54,2.46,4.84,41.10,-0.77,1.98,-17.77,36.62,27.37,36.62,202409
00072,16620887426.00,6373217584.00,11655177918.00,3101412291.00,1113529.00,10094224.00,0.00,0.00,0.00,4.14,-0.15,-2.99,1.74,59.97,40.11,172.27,3.37,0.65,68.45,1.72,30.92,1.45,7.84,246.47,1851.25,955.76,31.62,45.43,115.09,57.42,30.94,6.49,8.51,34.61,-2.00,3.81,-9.58,47.49,44.48,45.97,202409
00083,692293884.00,182183853.00,462750317.00,198398860.00,11871.00,351444.00,0.00,0.00,0.00,2.49,5.30,3.09,6.09,52.66,47.34,53.59,1.11,10.57,-3.49,6.04,9.89,1.98,12.27,267.10,621.30,249.96,20.98,76.93,115.04,62.90,27.32,5.45,9.14,42.47,-1.32,0.98,-11.19,42.86,14.79,42.75,202409
00086,448280087.00,116243529.00,321247041.00,77689744.00,13650.00,162050.00,0.00,0.00,0.00,4.66,0.20,-0.64,1.16,63.10,36.90,132.63,1.79,0.79,-5.65,1.03,3.45,1.16,11.27,178.56,1202.70,436.76,22.40,44.79,96.79,63.86,46.16,4.36,7.05,30.79,-0.59,1.63,-10.55,59.80,41.30,24.31,202409
00093,973138191.00,200950822.00,618122310.00,285029192.00,70023.00,520426.00,0.00,0.00,0.00,2.41,-1.02,-2.00,1.11,50.67,49.33,310.49,1.25,0.97,112.59,1.11,8.33,0.77,13.74,244.43,779.11,263.64,11.62,63.92,102.13,76.64,40.10,3.25,6.87,44.20,-0.97,0.59,-11.69,25.53,13.11,25.53,202409
